home_team,away_team,City,Stadium,Coordinates_match1,Coordinates_match2,Coordinate_home1,Coordinate_home2,Coordinate_away1,Coordinate_away2
,,Samara,Samara Arena,53.2781455,50.238854,,,,
,,Rostov-on-Don,Rostov Arena,47.209581,39.7384242,,,,
,,Saint Petersburg,Saint Petersburg Stadium,59.972728,30.2214045,,,,
,,Moscow,Spartak Stadium,55.8105199,37.7103318,,,,
,,Nizhny Novgorod,Nizhny Novgorod Stadium,56.3372872,43.9632507,,,,
,,Kazan,Kazan Arena,55.820983,49.1609661,,,,
,,Samara,Samara Arena,53.2781455,50.238854,,,,
,,Sochi,Fisht Stadium,43.4020114,39.9557089,,,,
,,Saint Petersburg,Saint Petersburg Stadium,59.972728,30.2214045,,,,
,,Moscow,Luzhniki Stadium,55.7166509,37.5682522,,,,
,,Saint Petersburg,Saint Petersburg Stadium,59.972728,30.2214045,,,,
,,Moscow,Luzhniki Stadium,55.7166509,37.5682522,,,,
